id,name,title,first_submitted,primary_relation,theme,resource_type,modalities,secondary_relations,first_author,description,project_url,code_url,paper_url,source_url,verification_level,checked_on,publication_status,scope_basis
2609.12731,GRACE,GRACE: Adaptive Concept Erasure with Geometry-Guided Retention in Diffusion Models,2026-09-11,Normative,"Safety, erasure and capability retention",Method,Image,,"Gong, Qinghui","Combines sensitive-subspace adapters, safe anchors and dynamic gating to reduce undesired concepts while limiting semantic drift.",,,https://arxiv.org/abs/2609.12731,https://arxiv.org/abs/2609.12731,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2609.09890,StreetDiff / Street360,StreetDiff: Multi-view Street Scenes Generation via Cross-view Consistent Multi-view Stable Diffusion with Structure Prompts,2026-09-09,Internal,Multi-view and geometric consistency,Method + Dataset,Image; 3D,External,"Zhang, Qi",Uses panorama-perspective alignment constraints during denoising to preserve urban-scene layout across rotated views.,,,https://arxiv.org/abs/2609.09890,https://arxiv.org/abs/2609.09890,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2609.00656,Chain-of-events physical conditioning,Physically Plausible Video Generation via Visual-Semantic Chain-of-Events Conditioning,2026-09-01,Normative,Physics-aware generation,Method,Video,External; Internal,"Wang, Zixuan",Represents physical evolution as event chains and uses routed keyframe conditioning with physics-informed semantic guidance.,,,https://arxiv.org/abs/2609.00656,https://arxiv.org/abs/2609.00656,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2608.29997,Discrete Diffusion Bridges,Discrete Diffusion Bridges for Spatiotemporally Aligned Image Translation and Generation,2026-08-30,External,Image editing and in-context generation,Method,Image,Internal,"Xie, Xing",Uses source-anchored corruption and an information-guided schedule to balance semantic editing with structural preservation in discrete diffusion.,,https://github.com/HKU-HealthAI/DDB,https://arxiv.org/abs/2608.29997,https://arxiv.org/abs/2608.29997,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2608.03974,JoyAI-Video-Edit,JoyAI-Video-Edit: Real-Time Open-Ended Video Editing with Autoregressive Diffusion,2026-08-04,External,Temporally consistent video editing,Method,Video,Internal,"Xiao, Yicheng",Combines source-anchored distillation and long-horizon autoregressive training to preserve source fidelity in streaming video editing.,,https://github.com/jd-opensource/JoyAI-Video-Edit,https://arxiv.org/abs/2608.03974,https://arxiv.org/abs/2608.03974,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2607.17097,HarmoHOI,HarmoHOI: Harmonizing Appearance and 3D Motion for Multi-view Hand-Object Interaction Synthesis,2026-07-19,Internal,Multi-view and geometric consistency,Method,Video; 3D,Normative,"Dang, Lingwei","Jointly models synchronized interaction videos and globally aligned 3D point tracks to couple appearance, motion and multi-view geometry.",https://droliven.github.io/HarmoHOI_project,,https://arxiv.org/abs/2607.17097,https://arxiv.org/abs/2607.17097,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2607.06609,D2PO,D2PO: Optimizing Diffusion Samplers via Dynamic Preference,2026-07-07,Normative,Preference alignment and reward learning,Method,Image,,"Kim, Jinkyu",Optimizes sampler timesteps and guidance weights through dynamic preferences rather than fixed teacher-regression targets.,,,https://arxiv.org/abs/2607.06609,https://arxiv.org/abs/2607.06609,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2607.05376,MV-Forcing,MV-Forcing: Long Multi-View Video Generation via 4D-Grounded Spatio-Temporal Self-Forcing,2026-07-06,Internal,Multi-view and geometric consistency,Method,Video; 3D,,"Fiebelman, Gal",Bridges view-wise and temporal autoregression with reconstructed 4D geometry and spatio-temporal self-forcing.,https://galfiebelman.github.io/mv-forcing/,,https://arxiv.org/abs/2607.05376,https://arxiv.org/abs/2607.05376,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2606.27608,Qwen-Image-2.0-RL,Qwen-Image-2.0-RL Technical Report,2026-06-25,Normative,Preference alignment and reward learning,Method,Image,External; Internal,"Xu, Yixian","Uses task-specific rewards, GRPO and on-policy distillation to align image generation and editing while preserving identity.",,,https://arxiv.org/abs/2606.27608,https://arxiv.org/abs/2606.27608,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
2606.26551,PhyEditBench,PhyEditBench: A Real-World Multi-Stage Benchmark for Physics-Aware Image Editing,2026-06-25,Normative,Physical and causal evaluation,Benchmark + Method,Image; Video,External,"Guo, Shengbin",Uses real physical transitions and anti-physics cases to diagnose physical understanding in instruction-based image editing.,,https://github.com/Previsior/PhyEditBench,https://arxiv.org/abs/2606.26551,https://arxiv.org/abs/2606.26551,primary-abstract-metadata,2026-09-16,arXiv record; proceedings status not audited,Editorial classification under the survey taxonomy
